"ID","Description","Full_definition","recode","direction","Chapter","API","Group","Denominator","Measurement_Type","Population_base","WorldPop_raster","Denominator_used"
"CH_VACC_C_NON","Children 12–23 months with no vaccinations","Percentage of children 12-23 months who had received no vaccinations.","KR",-1,"Chapter 10 - Child Health","CH_VACC_C_NON","Child Health","Children age 12-23 months","Percent","Children 12-23 months","Children 1-4yr (closest to 12-23mo): F_1+M_1","Living children aged 12-23 months (b5==1 & age 12-23 months)"
"ML_NETC_C_ITN","Children under age 5 who slept under an insecticide-treated net (ITN)","Percentage of children under age 5 who slept under an insecticide treated net (ITN) the night before the survey.","PR",1,"Chapter 12 - Malaria","ML_NETC_C_ITN","Child Health","Children under age five","Percent","Children under 5 years","Children under 5: F_0+M_0+F_1+M_1","Children under 60 months (hc1 < 60)"
"CH_DIAT_C_ORT","Children under age 5 with diarrhea who were treated with either ORS or RHF in the two weeks preceding the survey","Percentage of children born in the five  years preceding the survey with diarrhea in the two weeks preceding the survey who received either oral rehydration solution (ORS) or recommended home fluids (RHF).","KR",-1,"Chapter 09 - Maternal Health","CH_DIAT_C_ORT","Child Health","Children under age five (or three) who had diarrhea in the two weeks preceding the survey","Percent","Children under 5 years","Children under 5: F_0+M_0+F_1+M_1","Living children under 5 with diarrhea in past 2 weeks (b5==1 & h11 %in% c(1,2))"
"ED_LITR_W_LIT","Women who are literate","Percentage of women who are literate.","IR",1,"Chapter 03 - Characteristics Of Respondents","ED_LITR_W_LIT","Social Determinants","Women interviewed","Percent","Women 15-49","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","Women aged 15-49 (v012 <= 49)"
"CO_MOBB_W_MOB","Women who own a mobile phone","Percentage of women who own a mobile phone.","IR",1,"Chapter 15 - Women's Empowerment","CO_MOBB_W_MOB","Social Determinants","Women interviewed","Percent","Women 15-49","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","All women interviewed (no age restriction applied in code)"
"ED_EDUC_W_SEH","Women with secondary or higher education","Percentage of women with secondary or higher education.","IR",1,"Chapter 03 - Characteristics Of Respondents","ED_EDUC_W_SEH","Social Determinants","Women interviewed","Percent","Women 15-49","Women 15-49: F_15+F_20+F_25+F_30+F_35+F_40+F_45","All women interviewed (no age restriction applied in code)"
"HC_WIXQ_P_12Q","Population in the lowest two wealth quintiles","Percentage of the de jure population in the lowest two wealth quintiles.","PR",-1,"Chapter 02 - Housing Characteristics And Household Population","HC_WIXQ_P_12Q","Social Determinants","De jure population","Percent","De jure (total) population","Total population: all age-sex groups combined","De jure household population (all PR file respondents, hv270)"
"CM_ECMR_C_NNF","Deaths per 1000 live births in the first month of life in the five years preceding the survey","Deaths per 1000 live births in the first month of life in the five years preceding the survey.","BR",-1,"Chapter 08 - Infant And Child Mortality","CM_ECMR_C_NNR","Health Outcomes","Per thousand children exposed in period in age group","Rate","Live births / children under 1 year (neonatal)","Children 0-1yr (neonatal proxy): F_0+M_0","All births in the 5 years preceding the survey (b3 >= v008 - 60)"
"CN_NUTS_C_HA2","Children under age 5 who are stunted (HAZ < -2)","Percentage of children under age 5 stunted (below -2 SD of height for age according to the WHO standard).","PR",-1,"Chapter 11 - Nutrition Of Children And Adults","CN_NUTS_C_HA2","Health Outcomes","Children under age five","Percent","Children under 5 years","Children under 5: F_0+M_0+F_1+M_1","Children under 5 sleeping in household with valid HAZ score (hv103==1 & hc70 < 9996)"
"CN_NUTS_C_WH2","Children under age 5 who are wasted (WHZ < -2)","Percentage of children under age 5 wasted (below -2 SD of weight for height according to the WHO standard).","PR",-1,"Chapter 11 - Nutrition Of Children And Adults","CN_NUTS_C_WH2","Health Outcomes","Children under age five","Percent","Children under 5 years","Children under 5: F_0+M_0+F_1+M_1","Children under 5 sleeping in household with valid WHZ score (hv103==1 & hc72 < 9996)"
